Player,Institution,State,Division,Photo
Andrea Serra,American International College,Massachusetts,NCAA DII,RJB Sports
Claudia González & Andrea Serra,American International College,Massachusetts,NCAA DII,RJB Sports
Lyanne Hernández,American International College,Massachusetts,NCAA DII,RJB Sports
Naomi Eckert,American International College,Massachusetts,NCAA DII,RJB Sports
Junelly Marrero,Bloomfield College,New Jersey,NCAA DII,Bloomfield College Athletics
Alejandra Leal Montes,Caldwell University,New Jersey,NCAA DII,CACC Athletics
Alejandra Negrón,Cal State University Los Angeles,California,NCAA DII,Robert Huskey
Jeshmarie Suárez,Cal State University Los Angeles,California,NCAA DII,Robert Huskey
Karla Santos,Cal State University Los Angeles,California,NCAA DII,Robert Huskey
Henielys Ramos,Chestnut Hill College,Pennsylvania,NCAA DII,Chestnut Hill College Athletics
Anixa Rosa Martínez,Chowan University,North Carolina,NCAA DII,Chowan University Athletics
Alana Rousset Hernández,Concordia College New York,New York,NCAA DII,CACC Athletics
Camila Rabassa & Militza de Hostos & Tanializ Rivera,Concordia College New York,New York,NCAA DII,CACC Athletics
Lydimar Soto De Los Santos,Concordia College New York,New York,NCAA DII,CACC Athletics
Militza de Hostos,Concordia College New York,New York,NCAA DII,CACC Athletics
Nilka Rivera,Concordia College New York,New York,NCAA DII,CACC Athletics
Tanializ Rivera,Concordia College New York,New York,NCAA DII,CACC Athletics
Sheila Villagrasa,Florida Technical College,Florida,NCAA DII,Florida Tech Athletics
Valeria Torres,Gannon University,Pennsylvania,NCAA DII,Matt Mead Photography
Nahomie Alejandro,Georgian Court University,New Jersey,NCAA DII,CACC Athletics
Nahomie Alejandro & Paula Céspedes & Talía González,Georgian Court University,New Jersey,NCAA DII,CACC Athletics
Vanelix Merced,Georgian Court University,New Jersey,NCAA DII,CACC Athletics
Neyshlian Román Concepción,Goldey-Beacom College,Delaware,NCAA DII,Goldey-Beacom Athletics
Mainerys Muñoz,Holy Family University,Pennsylvania,NCAA DII,CACC Athletics
Adriana López,Mercy College,New York,NCAA DII,Mercy College Athletics
Adriana López,Mercy College,New York,NCAA DII,Mercy College Athletics
Natalia García,Mercy College,New York,NCAA DII,Mercy College Athletics
Nichole Rivera,Mercy College,New York,NCAA DII,Mercy College Athletics
Gabriela Martínez,Northern Michigan University,Michigan,NCAA DII,Northern Michigan University
Natalia Quiñones,Pace University,New York,NCAA DII,Pace University Athletics
Génesis Soto,Queens College,New York,NCAA DII,Queens College Athletics
Michelle Henwood,Saint Anselm College,New Hampshire,NCAA DII,Saint Anselm Athletics
Fabiola Rosado,Saint Leo University,Florida,NCAA DII,Saint Leo University
Valeria Aldarondo,Savannah State University,Georgia,NCAA DII,Savannah State University Athletics
Milleysha Molina,Shepherd University,Pennsylvania,NCAA DII,Shepherd University Athletics
Norian Ceballos,University of Arkansas - Fort Smith,Arkansas,NCAA DII,UAFS Athletics
Natalia Cruz,University of Mary,North Dakota,NCAA DII,Kali Askvig
Itzel Cruz,University of New Haven,Connecticut,NCAA DII,Clarus Studios
Claudia Rivera,University of Tampa,Florida,NCAA DII,University of Tampa Athletics
Claudia Rivera & Nicole Domínguez,University of Tampa,Florida,NCAA DII,University of Tampa Athletics
Nicole Domínguez,University of Tampa,Florida,NCAA DII,University of Tampa Athletics
Angelí Román Medina,University of the Sciences,Pennsylvania,NCAA DII,David Broytman
Natalia Vélez,University of the Sciences,Pennsylvania,NCAA DII,David Broytman
Tammy Reyes,Valdosta State University,Georgia,NCAA DII,Valdosta State University Athletics
